Dm_FBgn,Dm_FBpp,name,CG,len
FBgn0015288,FBpp0070143,RpL22,CG7434,299
FBgn0029532,FBpp0070144,CG13361,CG13361,478
FBgn0029531,FBpp0070145,CG13362,CG13362,322
FBgn0025639,FBpp0070146,Hmt4,CG13363,1300
FBgn0025639,FBpp0300875,Hmt4,CG13363,1300
FBgn0002579,FBpp0070150,RpL36,CG7622,115
FBgn0002579,FBpp0070151,RpL36,CG7622,115
FBgn0002579,FBpp0070152,RpL36,CG7622,115
FBgn0002579,FBpp0070153,RpL36,CG7622,115
FBgn0002579,FBpp0311481,RpL36,CG7622,115
FBgn0026879,FBpp0070154,CG13364,CG13364,64
FBgn0029529,FBpp0070155,CG13365,CG13365,114
FBgn0025633,FBpp0070156,CG13366,CG13366,950
FBgn0025633,FBpp0110088,CG13366,CG13366,1094
FBgn0025633,FBpp0308517,CG13366,CG13366,1094
FBgn0025633,FBpp0308518,CG13366,CG13366,949
FBgn0025633,FBpp0308519,CG13366,CG13366,950
FBgn0025633,FBpp0308520,CG13366,CG13366,1094
FBgn0025633,FBpp0308521,CG13366,CG13366,942
FBgn0040892,FBpp0110101,CG14634,CG14634,93
FBgn0040341,FBpp0070158,CG11664,CG11664,254
FBgn0029539,FBpp0070159,CG11663,CG11663,152
FBgn0029539,FBpp0301850,CG11663,CG11663,152
FBgn0040339,FBpp0070160,MED22,CG3034,143
FBgn0052815,FBpp0298010,CG32815,CG32815,382
FBgn0052815,FBpp0311621,CG32815,CG32815,382
FBgn0040340,FBpp0070162,TRAM,CG11642,368
FBgn0040340,FBpp0070163,TRAM,CG11642,368
FBgn0040340,FBpp0070164,TRAM,CG11642,368
FBgn0040340,FBpp0298011,TRAM,CG11642,368
FBgn0040340,FBpp0304840,TRAM,CG11642,368
FBgn0040347,FBpp0070165,mus81,CG3026,426
FBgn0042146,FBpp0070166,CG18823,CG18823,106
FBgn0029552,FBpp0070167,CG14631,CG14631,132
FBgn0040337,FBpp0070168,CG3021,CG3021,389
FBgn0040398,FBpp0070172,CG14629,CG14629,319
FBgn0040365,FBpp0070173,CG14628,CG14628,141
FBgn0040397,FBpp0070174,CG3655,CG3655,563
FBgn0040397,FBpp0112239,CG3655,CG3655,563
FBgn0040397,FBpp0303757,CG3655,CG3655,596
FBgn0040397,FBpp0303758,CG3655,CG3655,563
FBgn0026143,FBpp0070175,CDC45L,CG3658,575
FBgn0040351,FBpp0070176,CG11638,CG11638,387
FBgn0040338,FBpp0070177,TfIIA,CG11639,107
FBgn0040350,FBpp0070178,CG3690,CG3690,558
FBgn0040350,FBpp0309602,CG3690,CG3690,558
FBgn0040349,FBpp0070179,CG3699,CG3699,251
FBgn0040348,FBpp0070180,CG3703,CG3703,711
FBgn0040346,FBpp0070181,CG3704,CG3704,382
FBgn0040342,FBpp0070182,CG3706,CG3706,444
FBgn0040345,FBpp0303733,CG3708,CG3708,362
FBgn0040343,FBpp0070188,CG3713,CG3713,83
FBgn0040343,FBpp0302607,CG3713,CG3713,83
FBgn0052814,FBpp0307669,CG32814,CG32814,244
FBgn0040364,FBpp0070190,CG11378,CG11378,312
FBgn0040364,FBpp0302731,CG11378,CG11378,312
FBgn0040364,FBpp0311622,CG11378,CG11378,312
FBgn0040362,FBpp0070191,CG11379,CG11379,201
FBgn0040362,FBpp0309595,CG11379,CG11379,201
FBgn0040361,FBpp0070192,CG14627,CG14627,270
FBgn0040361,FBpp0302732,CG14627,CG14627,270
FBgn0040360,FBpp0070193,CG14626,CG14626,342
FBgn0040359,FBpp0070194,CG11380,CG11380,569
FBgn0040359,FBpp0311615,CG11380,CG11380,569
FBgn0040358,FBpp0070195,CG14625,CG14625,756
FBgn0029568,FBpp0070196,CG11381,CG11381,436
FBgn0040357,FBpp0070197,CG14624,CG14624,230
FBgn0040367,FBpp0070198,CG11382,CG11382,505
FBgn0040367,FBpp0309596,CG11382,CG11382,505
FBgn0025642,FBpp0070199,CG32812,CG32812,225
FBgn0025642,FBpp0309597,CG32812,CG32812,225
FBgn0004650,FBpp0070200,fs,CG11411,2118
FBgn0024362,FBpp0070202,Naa30A,CG11412,377
FBgn0024362,FBpp0302739,Naa30A,CG11412,358
FBgn0024361,FBpp0070204,Tsp2A,CG11415,244
FBgn0024361,FBpp0292376,Tsp2A,CG11415,244
FBgn0024364,FBpp0070205,CG11417,CG11417,771
FBgn0029573,FBpp0070206,CG14770,CG14770,151
FBgn0024987,FBpp0089110,ssx,CG3056,443
FBgn0024987,FBpp0308819,ssx,CG3056,167
FBgn0024987,FBpp0308820,ssx,CG3056,485
FBgn0024987,FBpp0308821,ssx,CG3056,443
FBgn0023169,FBpp0070208,AMPKalpha,CG3051,582
FBgn0023169,FBpp0070209,AMPKalpha,CG3051,582
FBgn0023169,FBpp0089374,AMPKalpha,CG3051,582
FBgn0052813,FBpp0070210,CG32813,CG32813,572
FBgn0052813,FBpp0070213,CG32813,CG32813,572
FBgn0052813,FBpp0309603,CG32813,CG32813,572
FBgn0052813,FBpp0309604,CG32813,CG32813,572
FBgn0052813,FBpp0309605,CG32813,CG32813,572
FBgn0052813,FBpp0303349,CG32813,CG32813,581
FBgn0052813,FBpp0303350,CG32813,CG32813,572
FBgn0052813,FBpp0303351,CG32813,CG32813,572
FBgn0052813,FBpp0303352,CG32813,CG32813,572
FBgn0024985,FBpp0070216,CG11448,CG11448,443
FBgn0024985,FBpp0304570,CG11448,CG11448,448
FBgn0024985,FBpp0304571,CG11448,CG11448,486
FBgn0027794,FBpp0070221,Lrpprc2,CG14786,1072
FBgn0027795,FBpp0070222,CG14785,CG14785,470
FBgn0024986,FBpp0070224,CG3719,CG3719,160
FBgn0000826,FBpp0070225,png,CG11420,291
FBgn0024365,FBpp0070226,CG12773,CG12773,712
FBgn0024365,FBpp0309606,CG12773,CG12773,712
FBgn0024365,FBpp0304566,CG12773,CG12773,711
FBgn0024360,FBpp0070227,MTPAP,CG11418,612
FBgn0024360,FBpp0089095,MTPAP,CG11418,288
FBgn0024360,FBpp0304567,MTPAP,CG11418,612
FBgn0024366,FBpp0070228,CG11409,CG11409,1279
FBgn0024366,FBpp0309598,CG11409,CG11409,1279
FBgn0025641,FBpp0070229,DAAM,CG14622,1153
FBgn0025641,FBpp0070231,DAAM,CG14622,1114
FBgn0025641,FBpp0309599,DAAM,CG14622,1153
FBgn0025641,FBpp0301965,DAAM,CG14622,1153
FBgn0025641,FBpp0301966,DAAM,CG14622,1153
FBgn0025641,FBpp0292356,DAAM,CG14622,1463
FBgn0052811,FBpp0292011,CG32811,CG32811,77
FBgn0028550,FBpp0070234,Atf3,CG11405,613
FBgn0028550,FBpp0303417,Atf3,CG11405,688
FBgn0028550,FBpp0311616,Atf3,CG11405,613
FBgn0026876,FBpp0070235,CG11403,CG11403,861
FBgn0040366,FBpp0070240,CG11398,CG11398,329
FBgn0040366,FBpp0311628,CG11398,CG11398,329
FBgn0040363,FBpp0070241,CG11384,CG11384,588
FBgn0040368,FBpp0070242,eIF4E7,CG32859,429
FBgn0026872,FBpp0070243,CG14777,CG14777,196
FBgn0026872,FBpp0308651,CG14777,CG14777,196
FBgn0026872,FBpp0308652,CG14777,CG14777,196
FBgn0026872,FBpp0289581,CG14777,CG14777,196
FBgn0026872,FBpp0311617,CG14777,CG14777,196
FBgn0029580,FBpp0070244,CG14778,CG14778,186
FBgn0025383,FBpp0070247,CG14780,CG14780,302
FBgn0025381,FBpp0070249,rush,CG14782,316
FBgn0025381,FBpp0308661,rush,CG14782,316
FBgn0025394,FBpp0070250,inc,CG32810,211
FBgn0025394,FBpp0308663,inc,CG32810,211
FBgn0025394,FBpp0308662,inc,CG32810,211
FBgn0000482,FBpp0070259,dor,CG3093,1002
FBgn0001189,FBpp0070260,hfw,CG3095,611
FBgn0001189,FBpp0305326,hfw,CG3095,611
FBgn0029587,FBpp0271908,CG14797,CG14797,196
FBgn0029587,FBpp0300639,CG14797,CG14797,221
FBgn0024897,FBpp0070262,b6,CG3100,558
FBgn0025391,FBpp0070267,Scgdelta,CG14808,404
FBgn0025391,FBpp0291384,Scgdelta,CG14808,404
FBgn0025391,FBpp0291385,Scgdelta,CG14808,404
FBgn0025391,FBpp0311618,Scgdelta,CG14808,404
FBgn0025378,FBpp0070268,CG3795,CG3795,305
FBgn0025378,FBpp0310567,CG3795,CG3795,305
FBgn0023130,FBpp0070269,a6,CG3771,409
FBgn0023130,FBpp0303433,a6,CG3771,409
FBgn0023130,FBpp0305327,a6,CG3771,409
FBgn0023530,FBpp0070273,CG3740,CG3740,140
FBgn0025390,FBpp0070274,Mur2B,CG14796,1795
FBgn0025390,FBpp0310121,Mur2B,CG14796,1795
FBgn0025390,FBpp0292620,Mur2B,CG14796,1144
FBgn0025393,FBpp0070275,CG14795,CG14795,116
FBgn0003517,FBpp0070277,sta,CG14792,270
FBgn0003517,FBpp0070278,sta,CG14792,270
FBgn0003517,FBpp0308665,sta,CG14792,270
FBgn0003517,FBpp0308666,sta,CG14792,270
FBgn0025382,FBpp0070280,Rab27,CG14791,236
FBgn0025382,FBpp0070281,Rab27,CG14791,230
FBgn0052808,FBpp0070282,CG32808,CG32808,284
FBgn0027791,FBpp0070283,O,CG14789,490
FBgn0027793,FBpp0070285,CG14787,CG14787,260
FBgn0052806,FBpp0070288,CG32806,CG32806,205
FBgn0026873,FBpp0070295,MED18,CG14802,217
FBgn0026873,FBpp0112946,MED18,CG14802,50
FBgn0023513,FBpp0070297,CG14803,CG14803,1102
FBgn0023513,FBpp0308672,CG14803,CG14803,1097
FBgn0014411,FBpp0070298,Vps26,CG14804,478
FBgn0023514,FBpp0070299,CG14805,CG14805,506
FBgn0029594,FBpp0070300,CG14806,CG14806,176
FBgn0029594,FBpp0303802,CG14806,CG14806,176
FBgn0023519,FBpp0070301,mRpL16,CG3109,243
FBgn0023519,FBpp0304831,mRpL16,CG3109,243
FBgn0023509,FBpp0070302,mip130,CG3480,986
FBgn0023510,FBpp0070303,Rbcn,CG17766,1525
FBgn0023510,FBpp0310568,Rbcn,CG17766,1525
FBgn0023508,FBpp0070304,Ocrl,CG3573,850
FBgn0023508,FBpp0304837,Ocrl,CG3573,850
FBgn0023522,FBpp0070307,CG11596,CG11596,401
FBgn0023522,FBpp0070305,CG11596,CG11596,456
FBgn0023522,FBpp0070306,CG11596,CG11596,439
FBgn0023522,FBpp0304838,CG11596,CG11596,401
FBgn0023522,FBpp0304839,CG11596,CG11596,401
FBgn0023521,FBpp0070308,CG3587,CG3587,299
FBgn0025627,FBpp0070314,CG4194,CG4194,264
FBgn0025630,FBpp0070316,Rtca,CG4061,361
FBgn0025630,FBpp0310569,Rtca,CG4061,361
FBgn0025629,FBpp0070317,CG4045,CG4045,256
FBgn0025628,FBpp0070320,CG4199,CG4199,593
FBgn0025628,FBpp0070321,CG4199,CG4199,593
FBgn0025628,FBpp0070322,CG4199,CG4199,593
FBgn0025628,FBpp0070323,CG4199,CG4199,552
FBgn0025628,FBpp0289482,CG4199,CG4199,593
FBgn0025628,FBpp0289483,CG4199,CG4199,593
FBgn0025628,FBpp0291627,CG4199,CG4199,593
FBgn0029596,FBpp0070324,CG14054,CG14054,205
FBgn0025626,FBpp0070325,CG4281,CG4281,696
FBgn0025625,FBpp0070326,Sik2,CG4290,1398
FBgn0025631,FBpp0070327,moody,CG4322,670
FBgn0025631,FBpp0292162,moody,CG4322,670
FBgn0025631,FBpp0292163,moody,CG4322,633
FBgn0025631,FBpp0292164,moody,CG4322,633
FBgn0025631,FBpp0301971,moody,CG4322,670
FBgn0025631,FBpp0301972,moody,CG4322,670
FBgn0026878,FBpp0070328,CG4325,CG4325,158
FBgn0026878,FBpp0302591,CG4325,CG4325,158
FBgn0000667,FBpp0070331,Actn,CG4376,917
FBgn0000667,FBpp0070329,Actn,CG4376,895
FBgn0000667,FBpp0070330,Actn,CG4376,895
FBgn0000667,FBpp0292167,Actn,CG4376,895
FBgn0000667,FBpp0302777,Actn,CG4376,897
FBgn0000667,FBpp0302778,Actn,CG4376,917
FBgn0000667,FBpp0302779,Actn,CG4376,917
FBgn0000667,FBpp0305935,Actn,CG4376,895
FBgn0000667,FBpp0305936,Actn,CG4376,917
FBgn0003964,FBpp0070332,usp,CG4380,508
FBgn0003964,FBpp0305937,usp,CG4380,508
FBgn0023545,FBpp0070333,PIG,CG4406,355
FBgn0023520,FBpp0070335,CG3857,CG3857,487
FBgn0023512,FBpp0070336,eIF2Bepsilon,CG3806,669
FBgn0023512,FBpp0089217,eIF2Bepsilon,CG3806,669
FBgn0023511,FBpp0070337,Edem1,CG3810,982
FBgn0023511,FBpp0070338,Edem1,CG3810,982
FBgn0023511,FBpp0070339,Edem1,CG3810,982
FBgn0023511,FBpp0304832,Edem1,CG3810,1004
FBgn0023511,FBpp0294034,Edem1,CG3810,982
FBgn0052801,FBpp0070340,CG32801,CG32801,158
FBgn0023518,FBpp0070346,trr,CG3848,2410
FBgn0023518,FBpp0070347,trr,CG3848,2431
FBgn0026088,FBpp0070348,CG14818,CG14818,96
FBgn0026088,FBpp0303803,CG14818,CG14818,96
FBgn0026089,FBpp0070349,CG14817,CG14817,106
FBgn0026089,FBpp0311619,CG14817,CG14817,106
FBgn0023517,FBpp0070350,Pgam5,CG14816,289
FBgn0023517,FBpp0308673,Pgam5,CG14816,288
FBgn0023516,FBpp0070351,Pex5,CG14815,614
FBgn0023516,FBpp0070352,Pex5,CG14815,559
FBgn0023515,FBpp0070353,CG14814,CG14814,1052
FBgn0023515,FBpp0070354,CG14814,CG14814,1030
FBgn0023515,FBpp0308578,CG14814,CG14814,1030
FBgn0028969,FBpp0070355,deltaCOP,CG14813,532
FBgn0028969,FBpp0291138,deltaCOP,CG14813,531
FBgn0026090,FBpp0070356,CG14812,CG14812,100
FBgn0026090,FBpp0305695,CG14812,CG14812,100
FBgn0029590,FBpp0301697,CG14811,CG14811,237
FBgn0025624,FBpp0070359,CG4025,CG4025,246
FBgn0040395,FBpp0070360,Unc,CG3981,474
FBgn0040395,FBpp0070361,Unc,CG3981,474
FBgn0040395,FBpp0305896,Unc,CG3981,474
FBgn0040395,FBpp0305897,Unc,CG3981,289
FBgn0000382,FBpp0070362,csw,CG3954,841
FBgn0000382,FBpp0070363,csw,CG3954,945
FBgn0000382,FBpp0070364,csw,CG3954,682
FBgn0000382,FBpp0305458,csw,CG3954,894
FBgn0023507,FBpp0070365,D2hgdh,CG3835,533
FBgn0023507,FBpp0070366,D2hgdh,CG3835,533
FBgn0023507,FBpp0070367,D2hgdh,CG3835,533
FBgn0004654,FBpp0070368,Pgd,CG3724,481
FBgn0004654,FBpp0303827,Pgd,CG3724,481
FBgn0023540,FBpp0070369,CG3630,CG3630,371
FBgn0023540,FBpp0301777,CG3630,CG3630,347
FBgn0023540,FBpp0302638,CG3630,CG3630,371
FBgn0023540,FBpp0302639,CG3630,CG3630,371
FBgn0025839,FBpp0070370,ND,CG3621,103
FBgn0025839,FBpp0309795,ND,CG3621,103
FBgn0011576,FBpp0070371,Cyp4d2,CG3466,501
FBgn0011576,FBpp0311678,Cyp4d2,CG3466,501
FBgn0015036,FBpp0070372,Cyp4ae1,CG10755,496
FBgn0003116,FBpp0070373,pn,CG3461,405
FBgn0040899,FBpp0070374,CG17776,CG17776,70
FBgn0040899,FBpp0311676,CG17776,CG17776,70
FBgn0040900,FBpp0288524,CG17777,CG17777,110
FBgn0040900,FBpp0309616,CG17777,CG17777,110
FBgn0024984,FBpp0070376,CG3457,CG3457,192
FBgn0024984,FBpp0311677,CG3457,CG3457,192
FBgn0023549,FBpp0070377,Mct1,CG3456,626
FBgn0023549,FBpp0309617,Mct1,CG3456,626
FBgn0029606,FBpp0304654,CG14052,CG14052,163
FBgn0003048,FBpp0309618,pcx,CG3443,3417
FBgn0003048,FBpp0310566,pcx,CG3443,3413
FBgn0003048,FBpp0304655,pcx,CG3443,3413
FBgn0000810,FBpp0070380,fs,CG3218,463
FBgn0023523,FBpp0070381,Or2a,CG3206,397
FBgn0023527,FBpp0070382,CG3071,CG3071,535
FBgn0040391,FBpp0070383,CG2854,CG2854,491
FBgn0003079,FBpp0070385,Raf,CG2845,739
FBgn0003079,FBpp0310458,Raf,CG2845,739
FBgn0003159,FBpp0070386,CG2841,CG2841,1234
FBgn0003159,FBpp0070387,CG2841,CG2841,1234
FBgn0003159,FBpp0070388,CG2841,CG2841,1234
FBgn0003159,FBpp0298285,CG2841,CG2841,1234
FBgn0003159,FBpp0298286,CG2841,CG2841,1234
FBgn0003159,FBpp0310194,CG2841,CG2841,1239
FBgn0040389,FBpp0070389,mRpL14,CG14048,161
FBgn0040389,FBpp0305877,mRpL14,CG14048,161
FBgn0044047,FBpp0070390,Ilp6,CG14049,107
FBgn0044047,FBpp0292966,Ilp6,CG14049,107
FBgn0044047,FBpp0292967,Ilp6,CG14049,107
FBgn0044047,FBpp0305878,Ilp6,CG14049,107
FBgn0040392,FBpp0070391,CG14050,CG14050,259
FBgn0040392,FBpp0301046,CG14050,CG14050,259
FBgn0023526,FBpp0070392,CG2865,CG2865,434
FBgn0023526,FBpp0305178,CG2865,CG2865,434
FBgn0023529,FBpp0070395,CG2918,CG2918,923
FBgn0023529,FBpp0290016,CG2918,CG2918,923
FBgn0023528,FBpp0070396,CG2924,CG2924,397
FBgn0023528,FBpp0312228,CG2924,CG2924,397
FBgn0023528,FBpp0290017,CG2924,CG2924,397
FBgn0023528,FBpp0311475,CG2924,CG2924,397
FBgn0027296,FBpp0070398,temp,CG3073,398
FBgn0027296,FBpp0311476,temp,CG3073,398
FBgn0023524,FBpp0070399,CG3078,CG3078,743
FBgn0023524,FBpp0309183,CG3078,CG3078,744
FBgn0023524,FBpp0423140,CG3078,CG3078,749
FBgn0023524,FBpp0423191,CG3078,CG3078,765
FBgn0023525,FBpp0070401,CG3191,CG3191,309
FBgn0023525,FBpp0309620,CG3191,CG3191,309
FBgn0000377,FBpp0070402,crn,CG3193,702
FBgn0001330,FBpp0070403,kz,CG3228,1192
FBgn0001330,FBpp0309621,kz,CG3228,1192
FBgn0004397,FBpp0070404,Vinc,CG3299,961
FBgn0004397,FBpp0309622,Vinc,CG3299,961
FBgn0004397,FBpp0309623,Vinc,CG3299,961
FBgn0023550,FBpp0070407,FarO,CG18031,504
FBgn0029603,FBpp0070408,CG14053,CG14053,230
FBgn0029603,FBpp0303801,CG14053,CG14053,230
FBgn0023542,FBpp0070409,Nmd3,CG3460,521
FBgn0023541,FBpp0070410,Cyp4d14,CG3540,507
FBgn0023541,FBpp0301778,Cyp4d14,CG3540,510
FBgn0005670,FBpp0070411,Cyp4d1,CG3656,503
FBgn0005670,FBpp0070412,Cyp4d1,CG3656,512
FBgn0004655,FBpp0070413,wapl,CG3707,1741
FBgn0004655,FBpp0070414,wapl,CG3707,1092
FBgn0004655,FBpp0310572,wapl,CG3707,1741
FBgn0013432,FBpp0070415,bcn92,CG3717,92
FBgn0004861,FBpp0070416,ph,CG18412,1589
FBgn0004861,FBpp0290730,ph,CG18412,1346
FBgn0004861,FBpp0310186,ph,CG18412,1346
FBgn0004861,FBpp0311667,ph,CG18412,1346
FBgn0004860,FBpp0070417,ph,CG3895,1537
FBgn0004860,FBpp0111756,ph,CG3895,1359
FBgn0040394,FBpp0070418,CG16903,CG16903,560
FBgn0040376,FBpp0070421,AANATL7,CG13759,228
FBgn0040376,FBpp0291635,AANATL7,CG13759,228
FBgn0040376,FBpp0291636,AANATL7,CG13759,228
FBgn0040376,FBpp0291637,AANATL7,CG13759,228
FBgn0040066,FBpp0070422,wds,CG17437,361
FBgn0040066,FBpp0300790,wds,CG17437,361
FBgn0001404,FBpp0070423,egh,CG9659,457
FBgn0001404,FBpp0070424,egh,CG9659,457
FBgn0001404,FBpp0309090,egh,CG9659,457
FBgn0040336,FBpp0070426,Seipin,CG9904,370
FBgn0040333,FBpp0309091,brv3,CG13762,750
FBgn0040333,FBpp0289932,brv3,CG13762,719
FBgn0040334,FBpp0070429,Tsp3A,CG10742,304
FBgn0040334,FBpp0297988,Tsp3A,CG10742,304
FBgn0029629,FBpp0070430,eIF3g1,CG8636,269
FBgn0011566,FBpp0070431,Smyd3,CG13761,468
FBgn0011606,FBpp0070432,Klp3A,CG8590,1212
FBgn0011606,FBpp0309092,Klp3A,CG8590,1212
FBgn0040375,FBpp0289931,CG13760,CG13760,240
FBgn0040375,FBpp0300791,CG13760,CG13760,222
FBgn0040377,FBpp0308493,Vha36,CG8310,249
FBgn0040377,FBpp0311750,Vha36,CG8310,249
FBgn0040388,FBpp0070441,boi,CG32796,998
FBgn0040388,FBpp0070442,boi,CG32796,547
FBgn0040388,FBpp0292889,boi,CG32796,998
FBgn0040388,FBpp0292890,boi,CG32796,998
FBgn0040388,FBpp0306904,boi,CG32796,1105
FBgn0003714,FBpp0070443,tko,CG7925,140
FBgn0003714,FBpp0300988,tko,CG7925,154
FBgn0001150,FBpp0070444,gt,CG7952,448
FBgn0052797,FBpp0070445,CG32797,CG32797,202
FBgn0040385,FBpp0070446,CG12496,CG12496,353
FBgn0003371,FBpp0070454,sgg,CG2621,1067
FBgn0003371,FBpp0089162,sgg,CG2621,514
FBgn0003371,FBpp0089158,sgg,CG2621,514
FBgn0003371,FBpp0089159,sgg,CG2621,575
FBgn0003371,FBpp0089160,sgg,CG2621,496
FBgn0003371,FBpp0089161,sgg,CG2621,416
FBgn0003371,FBpp0070449,sgg,CG2621,514
FBgn0003371,FBpp0070450,sgg,CG2621,575
FBgn0003371,FBpp0070451,sgg,CG2621,514
FBgn0003371,FBpp0070452,sgg,CG2621,514
FBgn0003371,FBpp0070453,sgg,CG2621,514
FBgn0003371,FBpp0111741,sgg,CG2621,772
FBgn0003371,FBpp0291178,sgg,CG2621,416
FBgn0003371,FBpp0291395,sgg,CG2621,441
FBgn0003371,FBpp0304139,sgg,CG2621,1126
FBgn0003371,FBpp0304140,sgg,CG2621,1168
FBgn0003371,FBpp0304141,sgg,CG2621,597
FBgn0003068,FBpp0070455,per,CG2647,1218
FBgn0003068,FBpp0304590,per,CG2647,1218
FBgn0024993,FBpp0070456,CG2662,CG2662,446
FBgn0024993,FBpp0311753,CG2662,CG2662,446
FBgn0024996,FBpp0070457,eIF2Bbeta,CG2677,352
FBgn0024997,FBpp0070458,CG2681,CG2681,626
FBgn0024991,FBpp0070459,CG2694,CG2694,825
FBgn0024991,FBpp0070460,CG2694,CG2694,673
FBgn0024991,FBpp0302769,CG2694,CG2694,822
