HUGO_name,len,Hs_uniprot_code
TRAJ52,23,A0A075B6W2
TRAJ33,19,A0A075B6W3
TRAJ46,21,A0A075B6W4
TRAV23DV6,121,A0A075B6W5
TRAJ27,20,A0A075B6W6
TRAJ38,21,A0A075B6W7
TRAJ17,21,A0A075B6W8
TRAJ53,22,A0A075B6W9
TRAJ45,22,A0A075B6X0
TRAJ32,22,A0A075B6X3
TRAJ28,22,A0A075B6X4
TRAV18,111,A0A075B6X5
TRAJ50,20,A0A075B6X7
TRAJ44,21,A0A075B6X8
TRAJ18,22,A0A075B6X9
TRAJ49,19,A0A075B6Y0
TRAJ30,19,A0A075B6Y1
TRAJ35,20,A0A075B6Y2
TRAJ3,20,A0A075B6Y3
TRAJ19,20,A0A075B6Y4
TRAJ47,19,A0A075B6Y5
TRAJ11,20,A0A075B6Y8
TRAJ42,22,A0A075B6Y9
TRAJ22,21,A0A075B6Z0
TRAJ20,19,A0A075B6Z1
TRAJ56,21,A0A075B6Z2
TRAJ6,21,A0A075B6Z3
TRDJ4,16,A0A075B6Z4
TRAJ4,21,A0A075B6Z5
TRAJ25,20,A0A075B6Z8
TRAJ24,21,A0A075B6Z9
TRAJ31,19,A0A075B700
TRAJ41,21,A0A075B702
TRAJ57,21,A0A075B704
TRDJ1,17,A0A075B706
TRAJ61,20,A0A075B708
TRAJ13,21,A0A075B709
TRAJ39,21,A0A075B710
TRAJ29,20,A0A075B711
TRAJ54,20,A0A075B712
TRAJ1,21,A0A075B713
TRAJ7,20,A0A075B714
LOC100509620,347,A0A075B734
PPIAL4E,164,A0A075B759
LOC105371242,164,A0A075B767
IGHV4OR15-8,117,A0A075B7B6
IGHV3OR16-12,117,A0A075B7B8
IGHD2OR15-2B,11,A0A075B7B9
IGHV1OR15-1,117,A0A075B7D0
IGKV1OR2-108,117,A0A075B7D4
IGHV3OR15-7,119,A0A075B7D8
IGHD3OR15-3B,11,A0A075B7E0
IGHV3OR16-13,117,A0A075B7E8
IGHV3OR16-10,116,A0A075B7F0
IGHV3OR16-8,116,A0A075B7F1
IGLV5-45,123,A0A087WSX0
IGHV4-30-2,118,A0A087WSY4
IGKV3D-15,115,A0A087WSY6
IGKV1D-8,117,A0A087WSZ0
HOXD4,146,A0A087WSZ3
TRAV30,112,A0A087WSZ9
TRAV27,109,A0A087WT01
TRAV9-2,112,A0A087WT02
TRAV26-1,109,A0A087WT03
A0A087WTG2,46,A0A087WTG2
TMEM265,108,A0A087WTH1
KCNE1B,132,A0A087WTH5
GIMAP1-GIMAP5,511,A0A087WTJ2
A0A087WTM6,91,A0A087WTM6
TRAJ36,20,A0A087WU04
A0A087WUJ7,227,A0A087WUJ7
NBPF19,3843,A0A087WUL8
SYNJ2BP-COX16,186,A0A087WUM0
A0A087WUU8,490,A0A087WUU8
A0A087WUV0,522,A0A087WUV0
A0A087WV48,116,A0A087WV48
TRBV16,115,A0A087WV62
A0A087WVE0,104,A0A087WVE0
TBC1D3D,549,A0A087WVF3
EMG1,149,A0A087WVM7
A0A087WW49,117,A0A087WW49
IGKV2-40,121,A0A087WW87
LOC110117498,95,A0A087WWA1
A0A087WWC5,75,A0A087WWC5
A0A087WWL8,130,A0A087WWL8
A0A087WWU0,41,A0A087WWU0
A0A087WWV3,80,A0A087WWV3
A0A087WX66,33,A0A087WX66
ELOA3C,387,A0A087WX78
A0A087WXM4,84,A0A087WXM4
MEIKIN,373,A0A087WXM9
TBC1D3I,549,A0A087WXS9
IGHV1OR21-1,117,A0A087WYE8
A0A087WYN8,130,A0A087WYN8
TRBV15,114,A0A087WZ39
A0A087WZ62,844,A0A087WZ62
FXYD6-FXYD2,144,A0A087WZ82
ARHGEF18,1122,A0A087WZG4
A0A087WZV9,223,A0A087WZV9
A0A087WZY1,265,A0A087WZY1
A0A087X002,238,A0A087X002
TRAJ37,22,A0A087X096
A0A087X0B3,334,A0A087X0B3
TRBV17,114,A0A087X0K7
TRBV18,115,A0A087X0M5
SENP3-EIF4A1,540,A0A087X0R7
A0A087X0T9,212,A0A087X0T9
TBC1D3E,549,A0A087X179
A0A087X1B8,175,A0A087X1B8
TMSB15B,80,A0A087X1C1
CYP2D7,515,A0A087X1C5
TBC1D3K,549,A0A087X1G2
LOC102723996,192,A0A087X1L8
A0A088AWK7,358,A0A088AWK7
A0A096LNJ8,35,A0A096LNJ8
DEFB131B,70,A0A096LNP1
A0A096LNT2,108,A0A096LNT2
SMIM26,95,A0A096LP01
A0A096LP38,46,A0A096LP38
CCDC187,1063,A0A096LP49
UQCRHL,91,A0A096LP55
SAA2-SAA4,208,A0A096LPE2
A0A096LPE4,126,A0A096LPE4
A0A096LPG2,23,A0A096LPG2
LOC102724200,203,A0A096LPH7
GVQW2,108,A0A096LPI5
A0A096LPI6,279,A0A096LPI6
A0A096LPK6,155,A0A096LPK6
LINC02203,316,A0A096LPK9
A0A0A0MQY5,61,A0A0A0MQY5
A0A0A0MRY4,1105,A0A0A0MRY4
IGKV2D-26,120,A0A0A0MRZ7
IGKV3D-11,115,A0A0A0MRZ8
IGLV5-52,124,A0A0A0MRZ9
IGLV3-32,114,A0A0A0MS00
TRGV10,117,A0A0A0MS01
TRGV1,117,A0A0A0MS02
TRBV5-3,114,A0A0A0MS03
TRBV6-7,114,A0A0A0MS04
TRBV5-7,114,A0A0A0MS05
TRBV23-1,115,A0A0A0MS06
IGHV1-45,117,A0A0A0MS14
IGHV3-49,119,A0A0A0MS15
RBM14-RBM4,147,A0A0A0MSL8
MROH7-TTC4,1334,A0A0A0MT08
IGKV6D-21,114,A0A0A0MT36
IGKJ4,12,A0A0A0MT69
TRBJ2-6,18,A0A0A0MT70
IGLJ1,42,A0A0A0MT76
TRBJ2-7,16,A0A0A0MT78
IGLJ2,47,A0A0A0MT82
TRGJP2,20,A0A0A0MT84
IGKJ2,13,A0A0A0MT85
IGLJ5,24,A0A0A0MT86
TRBJ2-4,17,A0A0A0MT87
IGKJ1,12,A0A0A0MT89
IGLJ7,15,A0A0A0MT92
IGLJ6,23,A0A0A0MT93
TRBJ2-2,17,A0A0A0MT94
IGKJ3,13,A0A0A0MT96
TRGJP1,20,A0A0A0MT97
IGLJ3,50,A0A0A0MT99
IGLJ4,11,A0A0A0MTA1
TRBJ2-2P,15,A0A0A0MTA2
IGKJ5,13,A0A0A0MTA3
TRBJ2-5,16,A0A0A0MTA4
TRBJ2-1,17,A0A0A0MTA7
VARS2,1061,A0A0A0MTG1
TNFSF12-TNFSF13,330,A0A0A6YY99
TMED7-TICAM2,188,A0A0A6YYA0
TRAV14DV4,116,A0A0A6YYC5
ZFP91-CNTF,529,A0A0A6YYC7
A0A0A6YYC8,382,A0A0A6YYC8
TRBV13,124,A0A0A6YYD4
GPR75-ASB3,556,A0A0A6YYF3
TRBV6-6,114,A0A0A6YYG2
TRBV6-8,113,A0A0A6YYG3
ARPC4-TTLL3,625,A0A0A6YYG9
C15orf38-AP3S2,394,A0A0A6YYH1
A0A0A6YYH2,397,A0A0A6YYH2
ZNF559-ZNF177,481,A0A0A6YYI6
MSANTD3-TMEFF1,341,A0A0A6YYJ0
TRAV8-3,113,A0A0A6YYJ7
A0A0A6YYJ9,748,A0A0A6YYJ9
TRAV8-1,113,A0A0A6YYK1
TRBV7-1,115,A0A0A6YYK4
A0A0A6YYK5,440,A0A0A6YYK5
TRAV16,109,A0A0A6YYK6
TRAV19,116,A0A0A6YYK7
TGIF2-C20orf24,155,A0A0A6YYL0
ST20-MTHFS,179,A0A0A6YYL1
POTEB,544,A0A0A6YYL3
RPL17-C18orf32,228,A0A0A6YYL6
BORCS7-ASMT,106,A0A0B4J1R7
IGLV1-36,117,A0A0B4J1U3
TRGV5,118,A0A0B4J1U4
TRBV9,114,A0A0B4J1U6
IGHV6-1,121,A0A0B4J1U7
IGHV3-15,119,A0A0B4J1V0
IGHV3-21,117,A0A0B4J1V1
IGHV2-26,119,A0A0B4J1V2
IGHV3-73,119,A0A0B4J1V6
IGHV7-81,117,A0A0B4J1V7
PPAN-P2RY11,794,A0A0B4J1V8
NPIPA5,369,A0A0B4J1W7
IGHV3-74,117,A0A0B4J1X5
IGHV3-43,118,A0A0B4J1X8
IGLV9-49,123,A0A0B4J1Y8
IGHV3-72,119,A0A0B4J1Y9
IGKV1D-43,117,A0A0B4J1Z2
TRBJ2-3,16,A0A0B4J200
A0A0B4J203,849,A0A0B4J203
TRAV2,112,A0A0B4J234
TRAV13-2,113,A0A0B4J235
TRAV8-2,113,A0A0B4J237
TRAV1-2,106,A0A0B4J238
TRAV10,114,A0A0B4J240
TRAV13-1,112,A0A0B4J241
TRAV3,114,A0A0B4J244
TRAV12-1,112,A0A0B4J245
TRAV1-1,108,A0A0B4J248
TRAV5,113,A0A0B4J249
TRAV8-6,113,A0A0B4J262
TRAV39,110,A0A0B4J263
TRAV38-1,116,A0A0B4J264
TRAV26-2,109,A0A0B4J265
TRAV41,112,A0A0B4J266
TRAV4,109,A0A0B4J268
A0A0B4J269,797,A0A0B4J269
TRAV12-3,114,A0A0B4J271
TRAV24,114,A0A0B4J272
TRAV34,112,A0A0B4J273
TRAV20,112,A0A0B4J274
TRAV17,112,A0A0B4J275
TRAV25,109,A0A0B4J276
TRAV22,110,A0A0B4J277
TRAV21,112,A0A0B4J279
TRAV40,105,A0A0B4J280
A0A0B4J293,547,A0A0B4J293
A0A0B4J2A0,478,A0A0B4J2A0
PPIAL4C,164,A0A0B4J2A2
IGHV3OR16-9,98,A0A0B4J2B5
IGHV2OR16-5,119,A0A0B4J2B6
IGHV1OR15-9,117,A0A0B4J2B8
A0A0B4J2C4,111,A0A0B4J2C4
GATD3B,268,A0A0B4J2D5
IGKV1D-13,117,A0A0B4J2D9
TRBV12-4,115,A0A0B4J2E0
CCL15-CCL14,113,A0A0B4J2E2
LOC102724159,919,A0A0B4J2E5
PIGBOS1,54,A0A0B4J2F0
SIK1B,783,A0A0B4J2F2
IGHV1-69D,117,A0A0B4J2H0
A0A0C4DFX4,3053,A0A0C4DFX4
IGKV6-21,114,A0A0C4DH24
IGKV3D-20,116,A0A0C4DH25
IGKV6D-41,115,A0A0C4DH26
TRGV8,118,A0A0C4DH27
TRGV4,118,A0A0C4DH28
IGHV1-3,117,A0A0C4DH29
IGHV3-16,117,A0A0C4DH30
IGHV1-18,117,A0A0C4DH31
IGHV3-20,117,A0A0C4DH32
IGHV1-24,117,A0A0C4DH33
IGHV4-28,117,A0A0C4DH34
IGHV3-35,117,A0A0C4DH35
IGHV3-38,116,A0A0C4DH36
IGHV5-51,117,A0A0C4DH38
IGHV1-58,117,A0A0C4DH39
IGHV4-61,118,A0A0C4DH41
IGHV3-66,116,A0A0C4DH42
IGHV2-70D,119,A0A0C4DH43
IGKV3D-7,119,A0A0C4DH55
TRBV5-4,114,A0A0C4DH59
IGHJ1,17,A0A0C4DH62
TRGJP,20,A0A0C4DH63
IGKV1-8,115,A0A0C4DH67
IGKV2-24,120,A0A0C4DH68
IGKV1-9,117,A0A0C4DH69
IGKV1-6,117,A0A0C4DH72
IGKV1-12,117,A0A0C4DH73
IGKV3OR2-268,116,A0A0C4DH90
MT-RNR1,16,A0A0C5B5G6
A0A0D9SEW6,157,A0A0D9SEW6
CCDC163,145,A0A0D9SF12
A0A0D9SFI3,127,A0A0D9SFI3
A0A0D9SG24,43,A0A0D9SG24
A0A0D9SG52,128,A0A0D9SG52
A0A0G2JK05,382,A0A0G2JK05
MUC21,596,A0A0G2JKD1
LY6G6E,128,A0A0G2JKS1
A0A0G2JKW9,36,A0A0G2JKW9
KRTAP4-8,195,A0A0G2JLE6
ASIC5,411,A0A0G2JLG4
IGHD5OR15-5A,7,A0A0G2JLJ8
A0A0G2JLL6,359,A0A0G2JLL6
KIR2DS5,398,A0A0G2JLM5
KIR2DS5,304,A0A0G2JLQ3
A0A0G2JLW4,131,A0A0G2JLW4
CCL4L2,92,A0A0G2JLY3
PRAMEF33,474,A0A0G2JMD5
LOC107984156,177,A0A0G2JMH3
IGHV1-69-2,117,A0A0G2JMI3
A0A0G2JMM0,328,A0A0G2JMM0
A0A0G2JMP0,313,A0A0G2JMP0
A0A0G2JMS6,1433,A0A0G2JMS6
A0A0G2JMZ2,1700,A0A0G2JMZ2
KIR3DP1,328,A0A0G2JN01
A0A0G2JN53,185,A0A0G2JN53
KIR2DL5B,375,A0A0G2JN68
A0A0G2JND7,137,A0A0G2JND7
KIR2DP1,349,A0A0G2JNF4
KIR2DS5,304,A0A0G2JNG1
A0A0G2JNH3,316,A0A0G2JNH3
A0A0G2JNJ9,132,A0A0G2JNJ9
HNRNPCL2,293,A0A0G2JNQ3
PRAMEF9,478,A0A0G2JP20
KIR2DL5B,375,A0A0G2JPC4
HNRNPCL4,293,A0A0G2JPF8
A0A0G2JPN4,36,A0A0G2JPN4
A0A0G2JQF1,25,A0A0G2JQF1
A0A0G2JQZ4,180,A0A0G2JQZ4
A0A0G2JRQ6,117,A0A0G2JRQ6
IGLV5-39,123,A0A0G2JS06
A0A0G2JS52,829,A0A0G2JS52
IGHJ6,21,A0A0J9YVP2
IGHJ5,17,A0A0J9YVP9
IGHJ4,16,A0A0J9YVS3
A0A0J9YVX5,310,A0A0J9YVX5
IGHV7-4-1,117,A0A0J9YVY3
IGHJ3,17,A0A0J9YW14
IGHD3-9,9,A0A0J9YW22
A0A0J9YW62,118,A0A0J9YW62
IGHD3-3,10,A0A0J9YWD0
TEX13C,993,A0A0J9YWL9
IGHJ2,18,A0A0J9YWN2
TRBJ1-3,17,A0A0J9YWP8
A0A0J9YWU9,116,A0A0J9YWU9
TRBJ1-6,18,A0A0J9YWX3
TRBJ1-2,16,A0A0J9YX06
IGHV3-64D,117,A0A0J9YX35
MAGEB6B,407,A0A0J9YX57
TRBV6-9,114,A0A0J9YX75
PNMA6F,578,A0A0J9YX94
TRBJ1-1,15,A0A0J9YXA8
TRBJ1-4,17,A0A0J9YXG5
TRBJ1-5,17,A0A0J9YXM7
IGHD3-10,9,A0A0J9YXN1
PNMA6E,647,A0A0J9YXQ4
NPHP3-ACAD11,232,A0A0J9YXS1
A0A0J9YXV3,536,A0A0J9YXV3
IGHV5-10-1,117,A0A0J9YXX1
TRBV6-2,114,A0A0J9YXY3
TEX13D,714,A0A0J9YY54
A0A0J9YY99,117,A0A0J9YY99
A0A0J9YYC4,293,A0A0J9YYC4
TRBV10-1,114,A0A0K0K1A3
TRBV6-5,114,A0A0K0K1A5
TRBV30,111,A0A0K0K1B3
TRBV11-1,115,A0A0K0K1C0
TRBV27,114,A0A0K0K1C4
TRBV6-1,114,A0A0K0K1D8
TRBV7-7,115,A0A0K0K1E9
TRBV10-3,114,A0A0K0K1G6
TRBV10-2,114,A0A0K0K1G8
CD300H,201,A0A0K2S4Q6
GOLGA6L10,536,A0A0M3HER8
IGHD5-12,7,A0A0U1RQB9
GLYATL1B,302,A0A0U1RQE8
DPEP2NB,123,A0A0U1RQF7
A0A0U1RQG5,324,A0A0U1RQG5
KLF18,1052,A0A0U1RQI7
A0A0U1RQK1,487,A0A0U1RQK1
A0A0U1RQM0,116,A0A0U1RQM0
LOC105378696,177,A0A0U1RQS6
ERVK3-1,116,A0A0U1RQV1
A0A0U1RQV5,110,A0A0U1RQV5
CENPVL1,272,A0A0U1RR11
C1orf232,186,A0A0U1RR37
A0A0U1RRA0,63,A0A0U1RRA0
NBDY,68,A0A0U1RRE5
A0A0U1RRH7,170,A0A0U1RRH7
CENPVL3,287,A0A0U1RRI6
LBHD2,108,A0A0U1RRK4
MMP24OS,71,A0A0U1RRL7
SPTY2D1OS,59,A0A0U1RRN3
A0A0X1KG70,313,A0A0X1KG70
ZNF816-ZNF321P,233,A0A0X1KG74
OR2A25,310,A0A126GWI2
CRYAA2,173,A0A140G945
MUC21,626,A0A140T8X8
RNF103-CHMP3,221,A0A140T963
VARS2,1061,A0A140TA40
VARS2,1061,A0A140TA45
LOC100653049,436,A0A140TA62
LOC100996750,210,A0A140TA64
KRTAP9-6,174,A0A140TA67
LCE6A,80,A0A183
KIR2DS1,304,A0A191URI9
TUNAR,48,A0A1B0GTB2
C3orf85,90,A0A1B0GTC6
TEX49,131,A0A1B0GTD5
LOC100289279,492,A0A1B0GTE1
IQANK1,560,A0A1B0GTG1
A0A1B0GTG8,36,A0A1B0GTG8
CSNKA2IP,734,A0A1B0GTH6
LOC100505841,108,A0A1B0GTH9
A0A1B0GTI1,187,A0A1B0GTI1
TMEM272,121,A0A1B0GTI8
A0A1B0GTJ5,212,A0A1B0GTJ5
hCG_1796489,334,A0A1B0GTJ6
FAM237A,181,A0A1B0GTK4
FAM236D,79,A0A1B0GTK5
C20orf204,189,A0A1B0GTL2
A0A1B0GTQ1,180,A0A1B0GTQ1
MYMX,84,A0A1B0GTQ4
EDDM13,161,A0A1B0GTR0
CXorf51A,108,A0A1B0GTR3
SPRR5,108,A0A1B0GTR4
HSFX4,333,A0A1B0GTS1
ZC3H11B,805,A0A1B0GTU1
CTXND1,59,A0A1B0GTU2
DWORF,35,A0A1B0GTW0
LMLN2,788,A0A1B0GTW7
TEX50,177,A0A1B0GTY4
CCDC196,297,A0A1B0GTZ2
A0A1B0GU03,582,A0A1B0GU03
SMIM28,152,A0A1B0GU29
TEX53,70,A0A1B0GU33
A0A1B0GU69,56,A0A1B0GU69
CFAP97D2,98,A0A1B0GU71
A0A1B0GU75,182,A0A1B0GU75
SMIM32,103,A0A1B0GUA5
CCDC195,201,A0A1B0GUA6
TEX51,166,A0A1B0GUA7
C13orf46,212,A0A1B0GUA9
MYOCOS,108,A0A1B0GUC4
A0A1B0GUH1,482,A0A1B0GUH1
BRD3OS,84,A0A1B0GUI7
PNMA8C,204,A0A1B0GUJ8
A0A1B0GUL7,405,A0A1B0GUL7
FAM236A,79,A0A1B0GUQ0
C19orf85,222,A0A1B0GUS0
UBE2L5,154,A0A1B0GUS4
C10orf143,108,A0A1B0GUT2
C17orf113,675,A0A1B0GUU1
A0A1B0GUV1,79,A0A1B0GUV1
TEX48,120,A0A1B0GUV7
LOC102723971,181,A0A1B0GUV8
SPEM3,1196,A0A1B0GUW6
SMIM27,55,A0A1B0GUW7
ATP6V1FNB,176,A0A1B0GUX0
MARCOL,285,A0A1B0GUY1
A0A1B0GUZ9,45,A0A1B0GUZ9
GOLGA6L7,622,A0A1B0GV03
FAM236B,79,A0A1B0GV22
A0A1B0GV72,72,A0A1B0GV72
REELD1,526,A0A1B0GV85
CTXND2,55,A0A1B0GV90
A0A1B0GV96,52,A0A1B0GV96
A0A1B0GVB3,256,A0A1B0GVB3
FAM237B,139,A0A1B0GVD1
CCDC194,234,A0A1B0GVG4
TEX54,124,A0A1B0GVG6
PRSS51,220,A0A1B0GVH4
C13orf42,325,A0A1B0GVH6
IQCM,501,A0A1B0GVH7
A0A1B0GVI7,797,A0A1B0GVI7
FAM240A,77,A0A1B0GVK7
TMEM238L,79,A0A1B0GVL6
TCAF2C,712,A0A1B0GVM2
ETDC,59,A0A1B0GVM5
C11orf97,126,A0A1B0GVM6
C2orf92,265,A0A1B0GVN3
SPAAR,90,A0A1B0GVQ0
CCDC200,168,A0A1B0GVQ3
A0A1B0GVR7,95,A0A1B0GVR7
MDFIC2,189,A0A1B0GVS7
SMIM36,93,A0A1B0GVT2
SMIM35,85,A0A1B0GVV1
LOC101929989,72,A0A1B0GVX0
A0A1B0GVY2,172,A0A1B0GVY2
SMIM31,71,A0A1B0GVY4
FAM240B,78,A0A1B0GVZ2
MBD3L2B,204,A0A1B0GVZ6
TMEM269,245,A0A1B0GVZ9
A0A1B0GW15,77,A0A1B0GW15
ABHD14A-ACY1,586,A0A1B0GW23
EXOC1L,172,A0A1B0GW35
A0A1B0GW54,56,A0A1B0GW54
A0A1B0GW55,424,A0A1B0GW55
FAM95C,222,A0A1B0GW59
SMIM33,132,A0A1B0GW64
A0A1B0GWB0,17,A0A1B0GWB0
PRRT1B,263,A0A1B0GWB2
SERTM2,90,A0A1B0GWG4
HSFX3,333,A0A1B0GWH4
LINC00672,25,A0A1B0GWH6
LOC101059915,518,A0A1B0GWI6
A0A1B0GWJ7,208,A0A1B0GWJ7
PVALEF,134,A0A1B0GWK0
TRBV7-6,115,A0A1B0GX31
TRBV6-4,114,A0A1B0GX49
TRBV7-8,115,A0A1B0GX51
TRDV1,115,A0A1B0GX56
TRBV2,115,A0A1B0GX68
TRBV12-5,115,A0A1B0GX78
TRBV7-4,115,A0A1B0GX95
TRBV7-2,115,A0A1B0GXF2
ATP6AP2,349,A0A1C7CYW4
CHRNA7,502,A0A1W2PN81
A0A1W2PNR3,125,A0A1W2PNR3
A0A1W2PNU3,283,A0A1W2PNU3
A0A1W2PNV4,684,A0A1W2PNV4
A0A1W2PP11,408,A0A1W2PP11
A0A1W2PP55,124,A0A1W2PP55
SCO2,73,A0A1W2PP80
hCG_1809904,198,A0A1W2PP81
THSD8,115,A0A1W2PP97
KDM4F,638,A0A1W2PPD8
A0A1W2PPE2,198,A0A1W2PPE2
A0A1W2PPE3,182,A0A1W2PPE3
DUXB,345,A0A1W2PPF3
GNG14,69,A0A1W2PPG7
A0A1W2PPH5,198,A0A1W2PPH5
FAM230A,454,A0A1W2PPH8
A0A1W2PPK0,400,A0A1W2PPK0
A0A1W2PPL8,197,A0A1W2PPL8
A0A1W2PPM0,123,A0A1W2PPM0
CPHXL,405,A0A1W2PPM1
A0A1W2PPQ1,181,A0A1W2PPQ1
A0A1W2PPV4,95,A0A1W2PPV4
A0A1W2PPW3,197,A0A1W2PPW3
A0A1W2PPZ6,126,A0A1W2PPZ6
A0A1W2PQ09,198,A0A1W2PQ09
SSU72P7,194,A0A1W2PQ27
A0A1W2PQ45,337,A0A1W2PQ45
SSU72P5,194,A0A1W2PQ64
A0A1W2PQ67,120,A0A1W2PQ67
HSPA14,361,A0A1W2PQ72
LOC390937,354,A0A1W2PQ73
A0A1W2PQ90,1213,A0A1W2PQ90
SSU72P4,194,A0A1W2PQC6
A0A1W2PQD3,144,A0A1W2PQD3
SSU72P2,194,A0A1W2PQD8
A0A1W2PQF6,199,A0A1W2PQF6
SSU72P3,194,A0A1W2PQJ5
A0A1W2PQL4,384,A0A1W2PQL4
A0A1W2PQM1,296,A0A1W2PQM1
RPS10-NUDT3,291,A0A1W2PQS6
A0A1W2PQU0,124,A0A1W2PQU0
KANTR,76,A0A1W2PQU2
GSTT4,241,A0A1W2PR19
TLE7,441,A0A1W2PR48
A0A1W2PR64,198,A0A1W2PR64
SSU72P8,194,A0A1W2PR75
A0A1W2PR80,420,A0A1W2PR80
LOC105371045,267,A0A1W2PR82
hCG_1642624,340,A0A1W2PR95
MED17,838,A0A1W2PRB8
A0A1W2PRE2,83,A0A1W2PRE2
A0A1W2PRG0,241,A0A1W2PRG0
A0A1W2PRG6,482,A0A1W2PRG6
A0A1W2PRK1,34,A0A1W2PRK1
hCG_1807616,198,A0A1W2PRN6
WI2-2373I1.2,233,A0A1W2PRP0
A0A1W2PRQ8,180,A0A1W2PRQ8
A0A1W2PRS3,328,A0A1W2PRS3
A0A1W2PRU2,124,A0A1W2PRU2
A0A1W2PRV1,198,A0A1W2PRV1
A0A1W2PRX2,142,A0A1W2PRX2
PMIS2,150,A0A1W2PS18
A0A1W2PS29,197,A0A1W2PS29
IGHD6-13,7,A0A1Y8EI39
IGHD6-19,7,A0A1Y8EKQ5
A0A286YEE6,296,A0A286YEE6
A0A286YES4,224,A0A286YES4
A0A286YET3,283,A0A286YET3
A0A286YEU6,314,A0A286YEU6
SCYGR4,105,A0A286YEV6
A0A286YEX6,415,A0A286YEX6
SCYGR10,47,A0A286YEX9
SCYGR1,88,A0A286YEY9
SCYGR7,96,A0A286YF01
A0A286YF18,149,A0A286YF18
A0A286YF32,110,A0A286YF32
SCYGR5,85,A0A286YF46
LOC149373,123,A0A286YF49
TMEM271,385,A0A286YF58
SCYGR3,100,A0A286YF60
SCYGR6,105,A0A286YF77
SCYGR2,120,A0A286YFB4
A0A286YFD6,374,A0A286YFD6
SCYGR8,108,A0A286YFG1
A0A286YFK9,51,A0A286YFK9
A0A286YFN4,46,A0A286YFN4
A0A2R8Y2Y2,192,A0A2R8Y2Y2
A0A2R8Y3M9,631,A0A2R8Y3M9
A0A2R8Y415,101,A0A2R8Y415
A0A2R8Y422,156,A0A2R8Y422
A0A2R8Y445,249,A0A2R8Y445
A0A2R8Y455,272,A0A2R8Y455
A0A2R8Y471,985,A0A2R8Y471
PDE8B,761,A0A2R8Y4E6
HNRNPA1P48,275,A0A2R8Y4L2
OR5D3P,323,A0A2R8Y4L6
A0A2R8Y4M4,201,A0A2R8Y4M4
A0A2R8Y4P6,54,A0A2R8Y4P6
A0A2R8Y4U1,216,A0A2R8Y4U1
OOSP4B,160,A0A2R8Y4Y8
A0A2R8Y556,26,A0A2R8Y556
LRTOMT,258,A0A2R8Y5M8
SLC35D2,205,A0A2R8Y5X9
A0A2R8Y619,122,A0A2R8Y619
A0A2R8Y634,200,A0A2R8Y634
A0A2R8Y6H1,351,A0A2R8Y6H1
A0A2R8Y6I0,56,A0A2R8Y6I0
A0A2R8Y6J1,282,A0A2R8Y6J1
A0A2R8Y6Q2,53,A0A2R8Y6Q2
IGF2,149,A0A2R8Y747
TINCR,120,A0A2R8Y7D0
H3.Y,136,A0A2R8Y7G9
A0A2R8Y7X9,168,A0A2R8Y7X9
A0A2R8Y7Y5,234,A0A2R8Y7Y5
B3GNT10,50,A0A2R8YCE0
A0A2R8YCJ5,93,A0A2R8YCJ5
