Dm_FBgn,CG,name,len
FBgn0015583,CG17797,Acp29AB,234
FBgn0023415,CG4605,Acp32CD,252
FBgn0267327,CG6555,Acp33A,47
FBgn0011559,CG7157,Acp36DE,912
FBgn0034152,CG8626,Acp53C14a,121
FBgn0034153,CG15616,Acp53C14b,132
FBgn0053530,CG33530,Acp53C14c,124
FBgn0015584,CG8622,Acp53Ea,120
FBgn0083936,CG34098,Acp54A1,46
FBgn0020509,CG1262,Acp62F,115
FBgn0015585,CG10852,Acp63F,81
FBgn0020765,CG10297,Acp65Aa,105
FBgn0015586,CG3801,Acp76A,388
FBgn0002863,CG17924,Acp95EF,52
FBgn0263597,CG43619,Acp98AB,25
FBgn0000032,CG7899,Acph,455
FBgn0263120,CG8732,Acsl,728
FBgn0000043,CG12051,Act42A,376
FBgn0000044,CG10067,Act57B,376
FBgn0000042,CG4027,Act5C,376
FBgn0000045,CG7478,Act79B,376
FBgn0000046,CG18290,Act87E,376
FBgn0000047,CG5178,Act88F,376
FBgn0024913,CG11062,Actbeta,946
FBgn0000667,CG4376,Actn,917
FBgn0015008,CG8953,Actn3,553
FBgn0040510,CG17176,ACXA,1112
FBgn0040509,CG17174,ACXB,1114
FBgn0040508,CG5983,ACXC,1130
FBgn0040507,CG5712,ACXD,1162
FBgn0040506,CG17178,ACXE,1123
FBgn0025115,CG16870,Acyp,120
FBgn0038363,CG18505,Acyp2,102
FBgn0037661,CG11994,Ada,337
FBgn0051866,CG31866,Ada1,308
FBgn0051865,CG31865,Ada1,308
FBgn0263738,CG43663,Ada2a,562
FBgn0037555,CG9638,Ada2b,555
FBgn0030891,CG7098,Ada3,588
FBgn0286071,CG14869,AdamTS,1688
FBgn0026086,CG12598,Adar,669
FBgn0028658,CG16889,Adat1,394
FBgn0035039,CG3608,Adck,518
FBgn0026573,CG8290,ADD1,1199
FBgn0036337,CG11255,AdenoK,345
FBgn0284249,CG15845,Adf1,274
FBgn0043025,CG32178,Adgf,561
FBgn0036752,CG5992,Adgf,553
FBgn0033952,CG10143,Adgf,539
FBgn0036751,CG5998,Adgf,520
FBgn0038173,CG9345,Adgf,506
FBgn0038172,CG9621,Adgf,502
FBgn0000055,CG3481,Adh,256
FBgn0000056,CG3484,Adhr,272
FBgn0052068,CG32068,Adi1,186
FBgn0038984,CG5315,AdipoR,444
FBgn0022709,CG17146,Adk1,229
FBgn0283494,CG3140,Adk2,240
FBgn0042094,CG6612,Adk3,216
FBgn0039747,CG9753,AdoR,774
FBgn0000057,CG5124,adp,628
FBgn0033983,CG10253,ADPS,631
FBgn0038467,CG3590,AdSL,481
FBgn0027493,CG17273,AdSS,447
FBgn0037679,CG8866,Aduk,520
FBgn0026602,CG1851,Ady43A,366
FBgn0005694,CG5683,Aef1,454
FBgn0026309,CG5032,aft,700
FBgn0038223,CG8538,Afti,1035
FBgn0015010,CG9538,Ag5r,256
FBgn0020508,CG9540,Ag5r2,254
FBgn0053138,CG33138,AGBE,685
FBgn0029813,CG15766,AgmNAT,216
FBgn0041171,CG15010,ago,1326
FBgn0262739,CG6671,AGO1,984
FBgn0087035,CG7439,AGO2,1217
FBgn0250816,CG40300,AGO3,867
FBgn0030421,CG3812,Agpat1,343
FBgn0026718,CG17608,Agpat2,271
FBgn0036623,CG4729,Agpat3,397
FBgn0036622,CG4753,Agpat4,380
FBgn0024912,CG1303,agt,194
FBgn0014455,CG11654,Ahcy,432
FBgn0035371,CG9977,AhcyL1,521
FBgn0015011,CG8956,AhcyL2,504
FBgn0031392,CG7263,AIF,739
FBgn0033351,CG8235,AIMP1,323
FBgn0036515,CG12304,AIMP2,334
FBgn0050185,CG30185,AIMP3,179
FBgn0033754,CG8816,Ak6,175
FBgn0027932,CG13388,Akap200,837
FBgn0004552,CG1171,Akh,79
FBgn0025595,CG11325,AkhR,455
FBgn0082598,CG8580,akirin,201
FBgn0010379,CG4006,Akt1,611
FBgn0000061,CG3935,al,408
FBgn0030122,CG16892,Aladin,466
FBgn0028962,CG4633,AlaRS,1012
FBgn0027094,CG13391,AlaRS,966
FBgn0020764,CG3017,Alas,539
FBgn0260972,CG8057,alc,341
FBgn0000064,CG6058,Ald1,363
FBgn0039425,CG5432,Ald2,364
FBgn0010548,CG11140,Aldh,564
FBgn0012036,CG3752,Aldh,520
FBgn0086378,CG40410,Alg,178
FBgn0038552,CG18012,Alg1,446
FBgn0052076,CG32076,Alg10,449
FBgn0037108,CG11306,Alg11,475
FBgn0030645,CG6308,Alg14,191
FBgn0035401,CG1291,Alg2,424
FBgn0011297,CG4084,Alg3,510
FBgn0039293,CG11851,Alg9,623
FBgn0261238,CG1070,Alh,1717
FBgn0013746,CG9556,alien,444
FBgn0086346,CG12876,ALiX,836
FBgn0040505,CG8250,Alk,1701
FBgn0065035,CG33250,AlkB,332
FBgn0283479,CG5656,Alp1,530
FBgn0035619,CG10592,Alp10,524
FBgn0030661,CG8105,Alp11,483
FBgn0032779,CG16771,Alp12,596
FBgn0037786,CG5361,Alp13,479
FBgn0283480,CG3290,Alp2,538
FBgn0016123,CG1462,Alp4,596
FBgn0038845,CG10827,Alp5,522
FBgn0033423,CG1809,Alp6,515
FBgn0034710,CG3292,Alp7,543
FBgn0034712,CG3264,Alp8,533
FBgn0035620,CG5150,Alp9,517
FBgn0086361,CG1906,alph,374
FBgn0250789,CG1977,alpha,2457
FBgn0026616,CG4606,alpha,1249
FBgn0011740,CG18802,alpha,1109
FBgn0010215,CG17947,alpha,917
FBgn0029105,CG2987,alpha,810
FBgn0039634,CG11874,alpha,685
FBgn0259170,CG42275,alpha,684
FBgn0015577,CG1128,alpha,587
FBgn0015569,CG1131,alpha,581
FBgn0015576,CG1121,alpha,574
FBgn0015575,CG1112,alpha,572
FBgn0015574,CG1108,alpha,568
FBgn0015570,CG2505,alpha,566
FBgn0015568,CG1031,alpha,565
FBgn0015571,CG1257,alpha,543
FBgn0261393,CG1089,alpha,543
FBgn0015572,CG1082,alpha,541
FBgn0051202,CG31202,alpha,526
FBgn0030007,CG2263,alpha,498
FBgn0031491,CG17223,alpha4GT1,369
FBgn0039378,CG5878,alpha4GT2,395
FBgn0025725,CG7961,alphaCOP,1234
FBgn0035657,CG10478,alphaKap4,442
FBgn0250791,CG6625,alphaSnap,292
FBgn0003863,CG18444,alphaTry,256
FBgn0087040,CG8308,alphaTub67C,462
FBgn0003884,CG1913,alphaTub84B,450
FBgn0003885,CG2512,alphaTub84D,450
FBgn0003886,CG9476,alphaTub85E,449
FBgn0031068,CG12534,Alr,266
FBgn0039332,CG11910,alrm,471
FBgn0037116,CG7158,Als2,1486
FBgn0038535,CG18212,alt,874
FBgn0004372,CG2075,aly,568
FBgn0000071,CG2198,Ama,341
FBgn0032881,CG9319,Amacr,373
FBgn0000075,CG10501,amd,510
FBgn0086782,CG11937,amn,180
FBgn0025686,CG11592,Amnionless,505
FBgn0023179,CG6438,amon,654
FBgn0003270,CG10393,amos,198
FBgn0052626,CG32626,AMPdeam,798
FBgn0027356,CG8604,Amph,602
FBgn0023169,CG3051,AMPKalpha,582
FBgn0038309,CG6499,Amt,562
FBgn0030328,CG2446,Amun,550
FBgn0000077,CG12127,amx,284
FBgn0000078,CG17876,Amy,494
FBgn0000079,CG18730,Amy,494
FBgn0020506,CG8221,Amyrel,493
FBgn0011746,CG8084,ana,477
FBgn0262167,CG6631,ana1,1729
FBgn0027513,CG8262,ana2,420
FBgn0266111,CG13162,ana3,1977
FBgn0032536,CG17988,Ance,844
FBgn0035076,CG10142,Ance,628
FBgn0012037,CG8827,Ance,615
FBgn0032535,CG16869,Ance,611
FBgn0033366,CG8196,Ance,609
FBgn0036741,CG7510,anchor,957
FBgn0030898,CG12611,Andorra,249
FBgn0016762,CG12273,angel,354
FBgn0011747,CG1651,Ank,1549
FBgn0261788,CG42734,Ank2,13559
FBgn0028343,CG8465,Ankle2,1174
FBgn0052000,CG32000,anne,1451
FBgn0064116,CG33071,anox,243
FBgn0000094,CG1361,Anp,57
FBgn0025111,CG1683,Ant2,307
FBgn0026268,CG1386,antdh,250
FBgn0260642,CG1028,Antp,378
FBgn0050488,CG30488,antr,272
FBgn0000084,CG9579,AnxB10,321
FBgn0030749,CG9968,AnxB11,511
FBgn0000083,CG5730,AnxB9,324
FBgn0000097,CG3166,aop,732
FBgn0004569,CG4531,aos,444
FBgn0029512,CG12276,Aos1,337
FBgn0267408,CG18522,AOX1,1273
FBgn0038348,CG18519,AOX2,1264
FBgn0038349,CG6045,AOX3,1254
FBgn0038350,CG18516,AOX4,1256
FBgn0267978,CG8376,ap,469
FBgn0030089,CG9113,AP,982
FBgn0264855,CG4260,AP,952
FBgn0010380,CG12532,AP,921
FBgn0263351,CG7057,AP,437
FBgn0024833,CG9388,AP,426
FBgn0039132,CG5864,AP,157
FBgn0043012,CG6056,AP,142
FBgn0015589,CG1451,Apc,2417
FBgn0034231,CG11419,APC10,195
FBgn0026598,CG6193,Apc2,1067
FBgn0052707,CG32707,APC4,775
FBgn0029879,CG14444,APC7,615
FBgn0026150,CG6291,ApepP,613
FBgn0051713,CG31713,Apf,142
FBgn0031458,CG2855,aph,238
FBgn0261854,CG42783,aPKC,958
FBgn0042178,CG32165,Apl,1080
FBgn0040281,CG1200,Aplip1,490
FBgn0087002,CG11064,apolpp,3351
FBgn0032136,CG15828,Apoltp,4333
FBgn0260941,CG42318,app,755
FBgn0261112,CG7828,APP,524
FBgn0000108,CG7727,Appl,890
FBgn0000109,CG18315,Aprt,182
FBgn0036111,CG6391,Aps,177
FBgn0015903,CG5393,apt,499
FBgn0033807,CG12251,AQP,276
FBgn0039598,CG14061,aqrs,366
FBgn0286516,CG9821,aqz,285
FBgn0015904,CG10571,ara,717
FBgn0028646,CG2139,aralar1,707
FBgn0033926,CG12505,Arc1,254
FBgn0033928,CG13941,Arc2,193
FBgn0038742,CG4703,Arc42,405
FBgn0038893,CG6353,Archease,156
FBgn0013749,CG11027,Arf102F,180
FBgn0013750,CG8156,Arf51F,175
FBgn0010348,CG8385,Arf79F,182
FBgn0020655,CG4237,ArfGAP1,468
FBgn0037182,CG6838,ArfGAP3,553
FBgn0037884,CG17184,Arfip,355
FBgn0030088,CG7039,Arfrp1,200
FBgn0023535,CG18104,arg,351
FBgn0000116,CG32031,Argk,562
FBgn0032076,CG9510,Argl,469
FBgn0027093,CG9020,ArgRS,665
FBgn0037526,CG10092,ArgRS,594
FBgn0025186,CG5709,ari,509
FBgn0017418,CG5659,ari,503
FBgn0000115,CG6025,Arl1,180
FBgn0004908,CG7435,Arl2,184
FBgn0039889,CG2219,Arl4,313
FBgn0035866,CG7197,Arl5,179
FBgn0034446,CG7735,Arl6,202
FBgn0038453,CG10326,Arl6IP1,197
FBgn0037551,CG7891,Arl8,186
FBgn0000117,CG11579,arm,843
FBgn0041164,CG11513,armi,1188
FBgn0011745,CG6174,Arp1,376
FBgn0031050,CG12235,Arp10,378
FBgn0011742,CG9901,Arp2,399
FBgn0262716,CG7558,Arp3,418
FBgn0038576,CG7940,Arp5,648
FBgn0011743,CG5409,Arp53D,411
FBgn0011741,CG11678,Arp6,398
FBgn0030877,CG7846,Arp8,607
FBgn0001961,CG8978,Arpc1,377
FBgn0032859,CG10954,Arpc2,301
FBgn0038369,CG4560,Arpc3A,177
FBgn0065032,CG8936,Arpc3B,174
FBgn0284255,CG5972,Arpc4,168
FBgn0031437,CG9881,Arpc5,151
FBgn0000119,CG5912,arr,1678
FBgn0000120,CG5711,Arr1,364
FBgn0000121,CG5962,Arr2,401
FBgn0033062,CG7843,Ars2,943
FBgn0037834,CG6554,Art1,376
FBgn0031592,CG3675,Art2,355
FBgn0038306,CG6563,Art3,516
FBgn0037770,CG5358,Art4,530
FBgn0038189,CG9927,Art6,341
FBgn0034817,CG9882,Art7,690
FBgn0032329,CG16840,Art8,341
FBgn0038188,CG9929,Art9,313
FBgn0042177,CG32164,Arts,1080
FBgn0029095,CG4276,aru,805
FBgn0052442,CG32442,Arv1,238
FBgn0036826,CG3893,arx,167
FBgn0058064,CG40064,ARY,384
FBgn0050372,CG30372,Asap,1155
FBgn0039908,CG11533,Asator,1349
FBgn0035407,CG14962,Asciz,388
FBgn0000137,CG3258,ase,486
FBgn0029094,CG9383,asf1,218
FBgn0005386,CG8887,ash1,2226
FBgn0000139,CG6677,ash2,556
FBgn0014006,CG4720,Ask1,1363
FBgn0261004,CG2919,asl,994
FBgn0086443,CG10687,AsnRS,558
FBgn0034177,CG6796,AsnRS,460
FBgn0270926,CG33486,AsnS,558
FBgn0000140,CG6875,asp,1954
FBgn0034075,CG8421,Asph,991
FBgn0034606,CG18375,ASPP,1069
FBgn0051739,CG31739,AspRS,1082
FBgn0002069,CG3821,AspRS,531
FBgn0034793,CG13533,asrij,258
FBgn0026565,CG1315,Ass,419
FBgn0015905,CG4426,ast,854
FBgn0266429,CG2872,AstA,394
FBgn0039595,CG10001,AstA,357
FBgn0015591,CG13633,AstA,151
FBgn0036789,CG13702,AstC,593
FBgn0036790,CG7285,AstC,483
FBgn0032336,CG14919,AstC,122
FBgn0032337,CG14920,AstCC,261
FBgn0020407,CG6814,asun,689
FBgn0261823,CG8787,Asx,1670
FBgn0031876,CG9200,Atac1,356
FBgn0032691,CG10414,Atac2,774
FBgn0052343,CG32343,Atac3,583
FBgn0039946,CG17172,ATbp,388
FBgn0025720,CG9204,Ate1,485
FBgn0020762,CG2969,Atet,832
FBgn0265193,CG44246,Atf,381
FBgn0028550,CG11405,Atf3,688
FBgn0033010,CG3136,Atf6,741
FBgn0260945,CG10967,Atg1,855
FBgn0040780,CG12821,Atg10,172
FBgn0030960,CG7053,Atg101,218
FBgn0036255,CG10861,Atg12,111
FBgn0261108,CG7331,Atg13,523
FBgn0039636,CG11877,Atg14,503
FBgn0039705,CG31033,Atg16,612
FBgn0037363,CG1347,Atg17,1357
FBgn0035850,CG7986,Atg18a,447
FBgn0032935,CG8678,Atg18b,471
FBgn0044452,CG1241,Atg2,1906
FBgn0036813,CG6877,Atg3,330
FBgn0031298,CG4428,Atg4a,411
FBgn0038325,CG6194,Atg4b,668
FBgn0029943,CG1643,Atg5,269
FBgn0264325,CG5429,Atg6,422
FBgn0034366,CG5489,Atg7,684
FBgn0052672,CG32672,Atg8a,121
FBgn0038539,CG12334,Atg8b,120
FBgn0034110,CG3615,Atg9,852
FBgn0032422,CG6579,atilla,143
FBgn0036995,CG5195,atk,1535
FBgn0039213,CG6668,atl,541
FBgn0010750,CG2503,atms,538
FBgn0010433,CG7508,ato,312
FBgn0052446,CG32446,Atox1,89
FBgn0037671,CG8444,ATP6AP2,320
FBgn0030343,CG1886,ATP7,1254
FBgn0259221,CG42321,ATP8A,1350
FBgn0037989,CG14741,ATP8B,1726
FBgn0002921,CG5670,Atpalpha,1041
FBgn0020236,CG8322,ATPCL,1112
FBgn0019644,CG8189,ATPsynB,243
FBgn0010217,CG11154,ATPsynbeta,511
FBgn0036568,CG5389,ATPsynbetaL,622
FBgn0039830,CG1746,ATPsynC,138
FBgn0016119,CG4412,ATPsynCF6,106
FBgn0035585,CG12027,ATPsynCF6L,147
FBgn0016120,CG6030,ATPsynD,178
FBgn0028342,CG2968,ATPsyndelta,157
FBgn0038224,CG3321,ATPsynE,81
FBgn0051477,CG31477,ATPsynepsilonL,64
FBgn0035032,CG4692,ATPsynF,107
FBgn0010612,CG6105,ATPsynG,99
FBgn0020235,CG7610,ATPsyngamma,297
FBgn0031941,CG7211,ATPsynGL,107
FBgn0016691,CG4307,ATPsynO,209
FBgn0067782,CG33488,att,197
FBgn0012042,CG10146,AttA,221
FBgn0041581,CG18372,AttB,218
FBgn0041579,CG4740,AttC,241
FBgn0038530,CG7629,AttD,181
FBgn0019637,CG1433,Atu,725
FBgn0029907,CG4547,Atx,230
FBgn0041188,CG5166,Atx2,1084
FBgn0031420,CG9866,Atxn7,971
FBgn0000146,CG6137,aub,866
FBgn0000147,CG3068,aurA,411
FBgn0024227,CG6620,aurB,329
FBgn0032104,CG17009,aust,216
FBgn0037218,CG1107,aux,1165
FBgn0050476,CG30476,ave,106
FBgn0030410,CG15727,Aven,294
FBgn0000150,CG2210,awd,168
FBgn0013751,CG1072,Awh,287
FBgn0035708,CG8398,axed,582
FBgn0026597,CG7926,Axn,745
FBgn0262870,CG43225,axo,2179
FBgn0000152,CG9703,Axs,646
FBgn0261647,CG4272,Axud1,852
FBgn0025185,CG1605,az2,593
FBgn0033238,CG11165,azot,148
FBgn0000153,CG7811,b,575
FBgn0004854,CG5488,B,645
FBgn0011758,CG5529,B,544
FBgn0023407,CG9239,B4,1107
FBgn0004587,CG10851,B52,355
FBgn0024897,CG3100,b6,558
FBgn0038342,CG14870,B9d1,241
FBgn0261683,CG42730,B9d2,177
FBgn0004870,CG9097,bab1,977
FBgn0025525,CG9102,bab2,1067
FBgn0011300,CG8224,babo,622
FBgn0034724,CG3624,babos,196
FBgn0031453,CG9894,Bacc,152
FBgn0032049,CG13095,Bace,372
FBgn0031977,CG7380,baf,90
FBgn0045866,CG11785,bai,206
FBgn0033778,CG3790,Balat,604
FBgn0260960,CG3971,Baldspot,316
FBgn0027889,CG6386,ball,599
FBgn0000158,CG10422,bam,442
FBgn0004862,CG7902,bap,382
FBgn0030093,CG7055,Bap111,749
FBgn0042085,CG3274,Bap170,1688
FBgn0025716,CG6546,Bap55,425
FBgn0025463,CG4303,Bap60,515
FBgn0037081,CG6049,barc,556
FBgn0031571,CG3921,bark,3123
FBgn0014127,CG10726,barr,735
FBgn0000163,CG5055,baz,1520
FBgn0039071,CG4434,bb8,535
FBgn0033844,CG6016,bbc,417
FBgn0087007,CG42230,bbg,2637
FBgn0260237,CG42511,BBIP1,76
FBgn0035741,CG14825,BBS1,605
FBgn0033578,CG13232,BBS4,486
FBgn0037280,CG1126,BBS5,381
FBgn0031255,CG13691,BBS8,549
FBgn0034622,CG15666,BBS9,957
FBgn0024251,CG1414,bbx,769
FBgn0040239,CG4867,bc10,79
FBgn0039558,CG4980,BCAS2,278
FBgn0000166,CG1034,bcd,494
FBgn0043362,CG14001,bchs,3489
FBgn0026149,CG17252,BCL7,154
FBgn0013432,CG3717,bcn92,92
FBgn0038857,CG17282,Bdbt,286
FBgn0034049,CG8291,bdg,1331
FBgn0028482,CG16857,bdl,719
FBgn0032512,CG9305,Bdp1,695
FBgn0052594,CG32594,be,825
FBgn0015602,CG10159,BEAF,283
FBgn0037660,CG18005,beag,557
FBgn0028644,CG4838,beat,534
FBgn0250908,CG42242,beat,517
FBgn0039089,CG10152,beat,446
FBgn0013433,CG4846,beat,437
FBgn0038498,CG14334,beat,431
FBgn0038494,CG4135,beat,407
FBgn0053179,CG33179,beat,404
FBgn0032629,CG15138,beat,383
FBgn0265607,CG12621,beat,343
FBgn0039584,CG14064,beat,332
FBgn0038092,CG31298,beat,328
FBgn0028645,CG7644,beat,327
FBgn0038087,CG10134,beat,300
FBgn0038084,CG14390,beat,297
FBgn0036691,CG7842,beg,379
FBgn0263231,CG9748,bel,801
FBgn0025109,CG18642,Bem46,338
FBgn0000173,CG18319,ben,151
FBgn0040238,CG6264,Best1,784
FBgn0035696,CG10173,Best2,809
FBgn0036492,CG12327,Best3,535
FBgn0036491,CG7259,Best4,526
FBgn0260857,CG14084,Bet1,117
FBgn0260859,CG3911,Bet3,178
FBgn0260860,CG1359,Bet5,145
FBgn0250788,CG5870,beta,2308
FBgn0025724,CG6699,beta,914
FBgn0037215,CG12582,beta,908
FBgn0039175,CG5706,beta,589
FBgn0033315,CG8734,beta3GalTII,382
FBgn0027538,CG8536,beta4GalNAcTA,403
FBgn0039625,CG14517,beta4GalNAcTB,323
FBgn0039258,CG11780,beta4GalT7,322
FBgn0008635,CG6223,betaCOP,964
FBgn0015000,CG3469,betaggt,395
FBgn0028970,CG18627,betaggt,347
FBgn0270927,CG2135,betaGlu,686
FBgn0030538,CG13402,betaNACtes1,261
FBgn0030563,CG18157,betaNACtes2,197
FBgn0052601,CG32601,betaNACtes3,262
FBgn0030566,CG18313,betaNACtes4,263
FBgn0052598,CG32598,betaNACtes6,262
FBgn0010357,CG18211,betaTry,253
FBgn0284243,CG9277,betaTub56D,456
FBgn0003888,CG3401,betaTub60D,454
FBgn0003889,CG9359,betaTub85D,446
FBgn0003890,CG4869,betaTub97EF,457
FBgn0083938,CG34102,BG642163,415
FBgn0250831,CG34103,BG642167,106
FBgn0047334,CG33943,BG642312,77
FBgn0013753,CG7959,Bgb,253
FBgn0004581,CG30170,bgcn,1215
FBgn0027348,CG4501,bgm,666
FBgn0261111,CG8616,BHD,460
FBgn0000179,CG3578,bi,1023
FBgn0035871,CG7188,BI,245
FBgn0000180,CG4722,bib,737
FBgn0000181,CG3644,bic,169
FBgn0000182,CG4824,BicC,905
FBgn0000183,CG6605,BicD,802
FBgn0014133,CG1822,bif,1305
FBgn0038252,CG3509,BigH1,353
FBgn0039509,CG3350,bigmax,254
FBgn0039282,CG11848,Bili,828
FBgn0045759,CG18647,bin,676
FBgn0024491,CG6046,Bin1,150
FBgn0263144,CG8276,bin3,1367
FBgn0026263,CG7574,bip1,419
FBgn0026262,CG2009,bip2,1406
FBgn0010520,CG4539,Bka,200
FBgn0035608,CG10630,blanks,324
FBgn0035625,CG5249,Blimp,1216
FBgn0002906,CG6920,Blm,1487
FBgn0050077,CG30077,Blos1,147
FBgn0036118,CG14145,Blos2,159
FBgn0085284,CG34255,Blos3,144
FBgn0036105,CG14149,Blos4,169
FBgn0027660,CG3897,blot,976
FBgn0004133,CG1363,blow,644
FBgn0038387,CG5268,blp,141
FBgn0011211,CG3612,blw,552
FBgn0085385,CG34356,bma,854
FBgn0036199,CG7314,Bmcp,303
FBgn0036449,CG5295,bmm,553
FBgn0001090,CG7088,bnb,442
FBgn0004389,CG1480,bnk,303
FBgn0014135,CG4608,bnl,770
FBgn0040487,CG12487,BobA,78
FBgn0004132,CG30498,boca,180
FBgn0037719,CG9424,bocks,399
FBgn0039560,CG5514,BOD1,1151
FBgn0040388,CG32796,boi,1105
FBgn0029730,CG12681,boil,450
FBgn0011206,CG4760,bol,233
FBgn0050362,CG30362,boly,255
FBgn0023097,CG5206,bon,1207
FBgn0260942,CG6921,bond,322
FBgn0026261,CG4207,bonsai,280
FBgn0040237,CG6815,bor,604
FBgn0259791,CG6897,bora,539
FBgn0032105,CG4454,borr,319
FBgn0000206,CG8285,boss,896
FBgn0027535,CG15110,botv,972
FBgn0261284,CG14430,bou,149
FBgn0004893,CG10021,bowl,744
FBgn0037205,CG11133,BoYb,1059
FBgn0283451,CG11491,br,1011
FBgn0033155,CG1845,Br140,1430
FBgn0010300,CG10719,brat,1061
FBgn0050169,CG30169,Brca2,971
FBgn0000216,CG3096,Brd,81
FBgn0039654,CG14514,Brd8,872
FBgn0086694,CG10542,Bre1,1044
FBgn0038499,CG31256,Brf,662
FBgn0024250,CG9653,brk,704
FBgn0000212,CG5942,brm,1658
FBgn0030434,CG4400,Brms1,259
FBgn0000221,CG4934,brn,325
FBgn0013755,CG7960,Bro,213
FBgn0259246,CG42344,brp,2238
FBgn0000114,CG31762,bru1,810
FBgn0262475,CG43065,bru2,893
FBgn0264001,CG43744,bru3,422
FBgn0266717,CG6303,Bruce,4976
FBgn0261787,CG2478,brun,1320
FBgn0036874,CG9472,brv1,728
FBgn0036712,CG16793,brv2,736
FBgn0040333,CG13762,brv3,750
FBgn0011785,CG31132,BRWD3,2232
FBgn0032130,CG3838,brwl,435
FBgn0004101,CG3411,bs,449
FBgn0284256,CG10302,bsf,1412
FBgn0261822,CG31605,Bsg,648
FBgn0000227,CG12205,Bsg25A,363
FBgn0000228,CG14025,Bsg25D,1118
FBgn0000529,CG10604,bsh,429
FBgn0000229,CG5680,bsk,372
FBgn0005666,CG32019,bt,8933
FBgn0030228,CG1826,BTBD9,722
FBgn0263108,CG43365,BtbVII,907
FBgn0000233,CG12653,btd,644
FBgn0030501,CG11177,BthD,249
FBgn0003502,CG8049,Btk29A,786
FBgn0285896,CG32134,btl,1052
FBgn0014949,CG5264,btn,158
FBgn0029848,CG3599,Btnd,553
FBgn0266756,CG44012,btsz,3734
FBgn0023096,CG15148,btv,4236
FBgn0045862,CG12878,btz,806
FBgn0031696,CG14030,Bub1,1099
FBgn0025457,CG7581,Bub3,326
FBgn0263855,CG7838,BubR1,1460
FBgn0040491,CG8238,Buffy,299
FBgn0034050,CG8297,bug,295
FBgn0032248,CG5343,Bug22,199
FBgn0032600,CG17912,BuGZ,622
FBgn0259176,CG42281,bun,1331
FBgn0000239,CG9242,bur,683
FBgn0038901,CG13419,Burs,173
FBgn0031150,CG32513,bves,414
FBgn0000241,CG17632,bw,675
FBgn0045064,CG13969,bwa,300
FBgn0265598,CG44425,Bx,424
FBgn0004856,CG8264,Bx42,547
FBgn0000244,CG9379,by,720
FBgn0011723,CG7260,byn,697
FBgn0010292,CG1430,bys,436
FBgn0000246,CG17604,c,744
FBgn0028525,CG4249,c,570
FBgn0031367,CG15623,c,201
